id,artistName,leadStreams,feats,tracks,oneBillion,houndredMillions,lastUpdated,Songs
1,Drake,50162292808,19246513666,262,6,130,09/19/2022 00:00:00,"IDGAF,Sticky"
2,Bad Bunny,44369032140,5391990975,163,5,118,09/20/2022 00:00:00,
3,Ed Sheeran,38153682361,2791278201,240,10,62,09/19/2022 00:00:00,"Shape of You,Perfect"
4,The Weeknd,34767779741,4288903657,186,8,72,09/19/2022 00:00:00,
5,Taylor Swift,32596728109,424053296,323,1,96,09/20/2022 00:00:00,
6,Justin Bieber,32465998885,10816202075,225,6,58,09/20/2022 00:00:00,
7,Ariana Grande,32287682040,2052297828,181,8,71,09/19/2022 00:00:00,
8,Eminem,30431861291,4165031640,301,5,65,09/19/2022 00:00:00,
9,Post Malone,29832277109,2728018288,98,9,57,09/19/2022 00:00:00,
10,BTS,28533458128,323205288,262,1,98,09/19/2022 00:00:00,
11,J Balvin,25892190469,9950347777,242,3,66,09/19/2022 00:00:00,
12,Kanye West,25535119184,5767153127,239,1,63,09/20/2022 00:00:00,
13,Billie Eilish,23684986780,0,65,4,47,09/20/2022 00:00:00,
14,Juice WRLD,23114066243,3751941085,116,3,60,09/19/2022 00:00:00,
15,Coldplay,22214835214,0,299,5,34,09/20/2022 00:00:00,
16,Dua Lipa,22186290470,349750231,198,7,36,09/19/2022 00:00:00,
17,Imagine Dragons,21812218476,65400698,189,4,41,09/19/2022 00:00:00,
18,XXXTENTACION,21726799289,2664663104,144,7,44,09/18/2022 00:00:00,
19,Ozuna,21119272574,7514655612,215,1,51,09/17/2022 00:00:00,
20,Khalid,20973735166,2923419376,119,7,40,09/15/2022 00:00:00,
21,Rihanna,20761226681,6677097087,278,2,46,09/19/2022 00:00:00,
22,Travis Scott,20566427073,9662107113,113,4,49,09/17/2022 00:00:00,
23,Maroon 5,19952566778,18447,240,7,31,09/17/2022 00:00:00,
24,David Guetta,19104897589,1131603410,705,1,46,09/19/2022 00:00:00,
25,Shawn Mendes,18964777185,46809153,126,5,34,09/19/2022 00:00:00,
26,Bruno Mars,18201285113,3874562483,81,5,32,09/06/2022 00:00:00,
27,Daddy Yankee,18075604863,5656394885,360,4,44,09/16/2022 00:00:00,
28,Calvin Harris,17820311936,419338360,238,3,29,09/03/2022 00:00:00,
29,Kendrick Lamar,17650726013,8647763108,121,2,41,09/19/2022 00:00:00,
30,Sam Smith,16883863013,277349953,145,4,31,09/19/2022 00:00:00,
31,Queen,16557204478,35125587,557,4,24,09/20/2022 00:00:00,
32,Beyoncé,15593114022,1949901038,366,1,36,09/19/2022 00:00:00,
33,Adele,15561219687,74107163,71,5,28,09/19/2022 00:00:00,
34,Future,15552849123,9255946718,504,1,29,09/17/2022 00:00:00,
35,One Direction,15499795436,0,124,0,45,09/19/2022 00:00:00,
36,The Chainsmokers,15484677966,400919869,197,4,27,09/13/2022 00:00:00,
37,Chris Brown,15440015429,7787759348,427,0,38,09/19/2022 00:00:00,
38,Lady Gaga,14897662581,94739265,314,1,27,09/19/2022 00:00:00,
39,J. Cole,14849857590,3309086106,137,1,39,09/20/2022 00:00:00,
40,Nicki Minaj,14744100678,10558501637,171,2,35,09/19/2022 00:00:00,
41,Anuel AA,14364736608,4592555695,160,1,35,09/19/2022 00:00:00,
42,Halsey,14151726087,2459831429,180,3,24,09/12/2022 00:00:00,
43,The Beatles,14001404418,0,792,0,39,09/19/2022 00:00:00,
44,Selena Gomez,13905383000,2075330489,140,3,24,09/19/2022 00:00:00,
45,Sia,13601270394,3054317056,323,2,26,09/19/2022 00:00:00,
46,Maluma,13551469480,7414576492,195,0,34,08/18/2022 00:00:00,
47,Harry Styles,13347420670,0,39,4,35,09/20/2022 00:00:00,
48,Marshmello,13049327287,641714533,163,4,19,09/15/2022 00:00:00,
49,Lil Uzi Vert,12985704210,8235141311,140,1,33,09/19/2022 00:00:00,
50,Linkin Park,12970759855,47851519,350,2,30,09/18/2022 00:00:00,
51,Twenty One Pilots,12949146668,0,90,3,36,09/18/2022 00:00:00,
52,Rauw Alejandro,12914088970,1924490635,182,0,34,09/18/2022 00:00:00,
53,Katy Perry,12631477879,1217714183,180,0,30,09/19/2022 00:00:00,
54,Kygo,12519097847,1133263396,107,1,30,09/09/2022 00:00:00,
55,Avicii,12484875427,456987347,248,3,18,09/20/2022 00:00:00,
56,Lana Del Rey,12457976768,801314209,166,0,37,09/19/2022 00:00:00,
57,Farruko,11983825654,6531990862,343,1,31,07/31/2022 00:00:00,
58,Doja Cat,11973361879,1669029614,85,3,25,09/19/2022 00:00:00,
59,Camila Cabello,11822254851,2188298508,61,2,24,09/19/2022 00:00:00,
60,Jason Derulo,11262694386,742144326,197,0,28,09/08/2022 00:00:00,
61,Arctic Monkeys,11249748739,0,134,1,24,09/19/2022 00:00:00,
62,KAROL G,11177377040,553732559,85,2,29,09/20/2022 00:00:00,
63,Red Hot Chili Peppers,11005993478,0,266,0,17,09/18/2022 00:00:00,
64,Shakira,10782631210,1255591184,232,1,25,09/19/2022 00:00:00,
65,Demi Lovato,10668611459,1425100886,251,1,23,09/19/2022 00:00:00,
66,Miley Cyrus,9940559934,931030339,197,1,17,09/18/2022 00:00:00,
67,OneRepublic,9926540057,219314451,167,1,27,08/28/2022 00:00:00,
68,Nicky Jam,9861155500,9052517716,220,0,27,07/31/2022 00:00:00,
69,Michael Jackson,9754680636,547196557,327,1,21,09/19/2022 00:00:00,
70,Lil Baby,9670090585,8736714891,181,1,21,09/19/2022 00:00:00,
71,Myke Towers,9667486409,4145835762,168,0,28,09/20/2022 00:00:00,
72,Charlie Puth,9570632839,231391689,109,3,14,09/20/2022 00:00:00,
73,Pitbull,9426002918,3062823873,394,1,21,09/10/2022 00:00:00,
74,Martin Garrix,9390213325,87715051,199,2,19,09/17/2022 00:00:00,
75,Sebastian Yatra,9365402828,850201743,126,0,30,09/19/2022 00:00:00,
76,DaBaby,9326324913,4757336377,157,2,18,09/18/2022 00:00:00,
77,21 Savage,9289820129,6019152179,162,0,24,09/19/2022 00:00:00,
78,Mac Miller,9187372325,699621455,221,0,21,09/13/2022 00:00:00,
79,Panic! At The Disco,9107446450,669606481,146,1,20,09/06/2022 00:00:00,
80,Pop Smoke,9097323859,930302921,99,0,19,09/06/2022 00:00:00,
81,Cardi B,9066363643,6163998179,70,2,18,09/17/2022 00:00:00,
82,Sech,9011436885,2900320709,123,0,25,07/31/2022 00:00:00,
83,Lil Wayne,8970128688,14160244567,476,0,19,09/17/2022 00:00:00,
84,Young Thug,8956248071,9576540270,366,0,20,09/17/2022 00:00:00,
85,Olivia Rodrigo,8954631138,1691988,37,2,13,09/19/2022 00:00:00,
86,Metallica,8890283866,7116668,814,0,16,09/19/2022 00:00:00,
87,G-Eazy,8847885490,2309356739,224,1,17,08/25/2022 00:00:00,
88,Ellie Goulding,8826849897,639400676,167,1,16,09/06/2022 00:00:00,
89,Lil Nas X,8778149366,0,34,3,11,09/16/2022 00:00:00,
90,Major Lazer,8758754488,614069138,269,3,14,09/05/2022 00:00:00,
91,Alan Walker,8727932813,1852490942,170,1,18,09/01/2022 00:00:00,
92,Wiz Khalifa,8695422254,7040015281,461,1,19,09/18/2022 00:00:00,
93,Lil Peep,8691721490,335277695,104,0,23,09/18/2022 00:00:00,
94,Diplo,8496096848,1757002014,397,0,24,09/13/2022 00:00:00,
95,Fall Out Boy,8451431705,38756715,199,0,18,09/13/2022 00:00:00,
96,Elton John,8437442330,318323546,936,1,17,09/19/2022 00:00:00,
97,AC/DC,8283420177,0,313,3,10,09/19/2022 00:00:00,
98,P!nk,8243802966,663799734,227,0,23,09/18/2022 00:00:00,
99,John Mayer,8243443329,514893335,208,0,20,09/16/2022 00:00:00,
100,Logic,8221159539,1940369157,193,1,14,09/11/2022 00:00:00,
102,Migos,8212730428,3413743336,283,0,18,09/20/2022 00:00:00,
103,Trippie Redd,8169854684,3237110398,197,0,24,09/15/2022 00:00:00,
104,Gunna,8136453038,4669227285,178,2,15,09/14/2022 00:00:00,
105,Tyga,8136081475,4144077151,303,1,20,07/31/2022 00:00:00,
106,James Arthur,8094663482,77343574,147,1,14,09/18/2022 00:00:00,
107,Little Mix,8025705397,12393008,205,0,21,09/20/2022 00:00:00,
108,Macklemore,7934784607,83073903,103,1,13,09/20/2022 00:00:00,
109,ZAYN,7926581878,238814490,85,3,16,09/18/2022 00:00:00,
110,DJ Snake,7893987604,1942695289,142,2,11,07/31/2022 00:00:00,
111,Lauv,7860150086,147385883,108,1,21,08/12/2022 00:00:00,
112,Kodak Black,7853951418,1969874771,243,0,16,09/19/2022 00:00:00,
113,"Tyler, The Creator",7852572852,1592057360,154,0,21,09/18/2022 00:00:00,
114,Frank Ocean,7842180179,2342080949,45,0,23,09/19/2022 00:00:00,
115,A$AP Rocky,7788610912,5156511594,99,0,19,09/20/2022 00:00:00,
116,YoungBoy Never Broke Again,7762762379,1355024452,416,0,8,09/19/2022 00:00:00,
117,NF,7715473739,135847234,81,1,18,09/12/2022 00:00:00,
118,Tiësto,7713821346,760009949,653,0,16,08/21/2022 00:00:00,
119,5 Seconds of Summer,7672003639,523602841,165,1,14,09/19/2022 00:00:00,
120,A Boogie Wit da Hoodie,7634446872,3249718029,138,0,17,09/14/2022 00:00:00,
121,Zedd,7585730125,1008114646,139,3,14,08/21/2022 00:00:00,
122,Romeo Santos,7485543396,1125011362,146,0,21,09/16/2022 00:00:00,
123,Robin Schulz,7470013873,315457501,224,1,15,09/04/2022 00:00:00,
124,Green Day,7403734026,536841,374,0,13,09/16/2022 00:00:00,
125,$uicideboy$,7392060042,255581637,313,0,13,09/18/2022 00:00:00,
126,Nirvana,7295132559,1137194,347,1,14,09/19/2022 00:00:00,
127,SZA,7269204057,2147963882,49,2,18,09/19/2022 00:00:00,
128,Luis Miguel,7267478981,2583720,312,0,17,09/16/2022 00:00:00,
129,DJ Khaled,7262608327,195727208,186,1,14,09/02/2022 00:00:00,
130,Metro Boomin,7262115562,209872990,118,1,18,07/31/2022 00:00:00,
131,Justin Timberlake,7225331308,2167168755,172,1,13,09/18/2022 00:00:00,
132,Bob Marley & The Wailers,7206364367,56737031,618,0,13,08/29/2022 00:00:00,
133,BLACKPINK,7206360244,526346942,103,0,22,09/19/2022 00:00:00,
134,Machine Gun Kelly,7175506952,1017993010,141,0,14,09/15/2022 00:00:00,
135,blackbear,7107987469,1743247445,162,1,14,08/22/2022 00:00:00,
136,Black Eyed Peas,7055175439,88656205,213,0,13,09/18/2022 00:00:00,
137,Anne-Marie,6995284822,797700433,136,3,12,09/19/2022 00:00:00,
138,Lewis Capaldi,6958006277,1385,48,2,10,08/31/2022 00:00:00,
139,Clean Bandit,6956364284,24677721,176,3,10,07/31/2022 00:00:00,
140,JAY-Z,6923840435,5959218358,306,0,13,09/17/2022 00:00:00,
141,Marília Mendonça,6909001088,1549217519,122,0,23,09/20/2022 00:00:00,
142,Zara Larsson,6878581725,510565925,85,2,13,09/13/2022 00:00:00,
143,Bebe Rexha,6836453644,3954204862,113,2,14,09/13/2022 00:00:00,
144,Anitta,6801733116,1407362033,175,0,20,09/02/2022 00:00:00,
145,Enrique Iglesias,6764228183,340675073,282,0,13,09/18/2022 00:00:00,
146,Fleetwood Mac,6753161276,563244,768,1,11,09/13/2022 00:00:00,
147,The Rolling Stones,6727427341,6784031,1073,0,14,09/17/2022 00:00:00,
148,The Neighbourhood,6718687991,1183878,90,1,12,08/12/2022 00:00:00,
149,Pink Floyd,6714780376,0,436,0,13,09/16/2022 00:00:00,
150,Britney Spears,6671486096,689481019,292,0,19,09/19/2022 00:00:00,
151,Michael Bublé,6667559320,313876033,239,0,18,09/12/2022 00:00:00,
152,The Kid LAROI,6647734218,847871845,49,1,16,09/16/2022 00:00:00,
153,Guns N' Roses,6615411211,55151,139,1,10,09/19/2022 00:00:00,
154,Flo Rida,6555092666,1786418102,229,0,11,07/31/2022 00:00:00,
155,Camilo,6519784854,887878975,49,0,20,09/13/2022 00:00:00,
156,Ty Dolla $ign,6503653017,10647843904,191,0,14,09/03/2022 00:00:00,
157,Kid Cudi,6488863340,1505742485,160,0,12,09/08/2022 00:00:00,
158,Disney,6480840953,819435187,529,0,14,07/31/2022 00:00:00,
159,Becky G,6434404802,1302187576,110,0,16,09/19/2022 00:00:00,
160,Jonas Blue,6422049491,111388929,165,0,9,07/31/2022 00:00:00,
161,Russ,6409448257,120435639,368,0,14,08/31/2022 00:00:00,
162,Luis Fonsi,6388525172,444209070,187,2,10,08/11/2022 00:00:00,
163,2Pac,6328173362,345066838,316,0,16,09/06/2022 00:00:00,
164,Reik,6327803667,330177113,172,0,16,07/31/2022 00:00:00,
165,50 Cent,6248846278,2758573236,185,0,14,09/16/2022 00:00:00,
166,Childish Gambino,6247735359,604415192,86,1,13,08/18/2022 00:00:00,
167,Gorillaz,6243417623,1329013,283,0,11,09/17/2022 00:00:00,
168,Ava Max,6182963810,222536835,105,1,15,09/19/2022 00:00:00,
169,Jhay Cortez,6170553828,1249018420,82,1,11,08/20/2022 00:00:00,
170,Bastille,6158728878,156539720,205,2,10,09/09/2022 00:00:00,
171,Joji,6150774573,723433712,52,0,17,09/19/2022 00:00:00,
172,Polo G,6136158071,2095079434,75,0,14,07/31/2022 00:00:00,
173,Lorde,6006934967,286523906,57,0,19,09/19/2022 00:00:00,
174,Usher,5981518153,3241074771,257,0,15,09/15/2022 00:00:00,
175,Hozier,5967126876,0,69,1,14,09/18/2022 00:00:00,
176,David Bowie,5960976370,35086750,1315,1,12,09/13/2022 00:00:00,
177,Banda MS de Sergio Lizárraga,5924856095,5520822,216,0,19,07/31/2022 00:00:00,
178,Luke Combs,5890199848,150384172,68,0,15,08/21/2022 00:00:00,
179,Mariah Carey,5888465193,401002898,660,1,12,09/20/2022 00:00:00,
180,Skrillex,5881756686,1640865351,149,0,14,07/31/2022 00:00:00,
181,Christian Nodal,5835820936,409256344,69,0,18,08/20/2022 00:00:00,
182,Big Sean,5791066758,6189567932,153,0,13,09/04/2022 00:00:00,
183,The Killers,5774550053,359729,213,1,11,09/18/2022 00:00:00,
184,Alessia Cara,5768256100,2748095478,138,2,8,09/04/2022 00:00:00,
185,Foo Fighters,5761240710,0,237,0,12,09/15/2022 00:00:00,
186,Playboi Carti,5756121719,1679604284,82,0,14,09/17/2022 00:00:00,
187,French Montana,5687956941,3407044954,672,1,11,08/05/2022 00:00:00,
188,Tory Lanez,5657531451,2622981646,256,0,12,09/08/2022 00:00:00,
189,U2,5622227589,303372985,522,0,8,09/18/2022 00:00:00,
190,Manuel Turizo,5610907877,2311637889,66,0,17,08/26/2022 00:00:00,
191,Meek Mill,5609538227,1900550120,440,0,9,09/12/2022 00:00:00,
192,Jack Harlow,5606152807,315806334,96,1,10,09/12/2022 00:00:00,
193,blink-182,5568505079,66190562,185,0,10,09/14/2022 00:00:00,
194,Led Zeppelin,5554421214,118988,241,0,13,09/18/2022 00:00:00,
195,Daft Punk,5551691330,3320364189,190,0,12,08/24/2022 00:00:00,
196,Radiohead,5531324257,2206126,233,0,8,09/18/2022 00:00:00,
197,Jorge & Mateus,5486263204,1108375019,280,0,11,09/12/2022 00:00:00,
198,Henrique & Juliano,5466963460,812748773,177,0,14,09/12/2022 00:00:00,
199,Roddy Ricch,5446354074,3489978704,61,1,15,09/20/2022 00:00:00,
200,Elvis Presley,5442877510,5634626,1855,0,11,09/03/2022 00:00:00,
201,Meghan Trainor,5418874209,1025879971,141,0,11,09/18/2022 00:00:00,
203,Paulo Londra,5408739140,119832137,37,0,16,09/16/2022 00:00:00,
204,Labrinth,5408385063,396587742,149,0,14,07/31/2022 00:00:00,
205,John Legend,5384405995,2403169234,249,1,8,07/31/2022 00:00:00,
206,Frank Sinatra,5382091415,77042747,2171,0,13,08/14/2022 00:00:00,
207,Don Omar,5374011725,1957856299,237,0,13,09/08/2022 00:00:00,
208,Morgan Wallen,5345429164,521301528,60,0,17,09/13/2022 00:00:00,
209,System Of A Down,5306747245,997641,83,0,10,08/18/2022 00:00:00,
210,Megan Thee Stallion,5274621614,1656164329,131,1,12,09/19/2022 00:00:00,
211,Rita Ora,5257167753,709421106,133,0,14,09/19/2022 00:00:00,
212,The 1975,5232430866,156055221,136,0,13,09/13/2022 00:00:00,
213,Rae Sremmurd,5226974030,544047899,62,0,13,09/08/2022 00:00:00,
214,Tame Impala,5214042684,174098397,101,1,11,09/20/2022 00:00:00,
215,Melanie Martinez,5194199440,5232238,58,0,17,09/19/2022 00:00:00,
216,TWICE,5181586735,39496270,220,0,13,09/17/2022 00:00:00,
217,Muse,5181150140,6402079,253,0,11,09/10/2022 00:00:00,
218,Gucci Mane,5179422858,4905865217,2117,0,5,08/17/2022 00:00:00,
219,Jack Johnson,5176854131,39660958,190,0,9,09/07/2022 00:00:00,
220,The Notorious B.I.G.,5171977853,699574957,185,0,12,07/31/2022 00:00:00,
221,Troye Sivan,5103726645,873635526,105,0,12,09/19/2022 00:00:00,
222,Bon Jovi,5101338141,1335247,329,1,9,09/17/2022 00:00:00,
223,Paramore,5095348178,0,114,0,11,09/14/2022 00:00:00,
224,Mumford & Sons,5088124853,18747880,121,0,12,09/15/2022 00:00:00,
225,ABBA,5004152913,146654,160,0,14,09/01/2022 00:00:00,
226,6ix9ine,4988907666,1117326282,57,0,16,09/14/2022 00:00:00,
227,Slipknot,4980473881,0,208,0,10,08/11/2022 00:00:00,
228,Bazzi,4941186159,62540256,39,0,12,07/31/2022 00:00:00,
229,Gusttavo Lima,4938141476,876355276,287,0,9,08/26/2022 00:00:00,
230,Oasis,4924851582,1134,237,1,7,09/19/2022 00:00:00,
231,Morat,4919640815,436178161,74,0,15,08/31/2022 00:00:00,
232,Sean Paul,4910936441,3853999824,400,0,10,07/31/2022 00:00:00,
233,Felix Jaehn,4901374743,194535961,172,1,12,07/31/2022 00:00:00,
234,The Lumineers,4894719810,0,86,0,8,08/29/2022 00:00:00,
235,Justin Quiles,4878976278,4310489285,163,0,14,07/31/2022 00:00:00,
236,Dalex,4871872181,1036388958,129,0,15,09/03/2022 00:00:00,
237,Duki,4869537547,937757024,147,0,13,09/12/2022 00:00:00,
238,Swae Lee,4836929180,5692666319,59,1,10,07/31/2022 00:00:00,
239,Hailee Steinfeld,4815845560,606712238,31,1,10,09/19/2022 00:00:00,
240,Julia Michaels,4811539257,1690872391,65,1,7,09/16/2022 00:00:00,
241,Rammstein,4781710534,3762124,245,0,10,08/27/2022 00:00:00,
242,Alicia Keys,4777678003,1427914798,253,0,8,09/17/2022 00:00:00,
243,Alok,4738018362,231488539,212,0,12,08/29/2022 00:00:00,
244,Madonna,4718747892,138810390,762,0,7,09/20/2022 00:00:00,
245,Jess Glynne,4712325038,543326342,82,1,10,09/18/2022 00:00:00,
246,Zion & Lennox,4710887632,2887125495,159,0,11,07/31/2022 00:00:00,
247,Disclosure,4690114197,24281620,186,0,7,07/31/2022 00:00:00,
248,Christina Aguilera,4686000540,1808585763,281,0,9,08/19/2022 00:00:00,
249,Kings of Leon,4669462543,0,121,0,8,09/18/2022 00:00:00,
250,6LACK,4650333571,952817602,79,0,10,09/03/2022 00:00:00,
251,Cheat Codes,4629305378,313902252,151,0,7,07/31/2022 00:00:00,
252,Tove Lo,4629278952,1360259448,144,0,7,09/09/2022 00:00:00,
253,Creedence Clearwater Revival,4623595600,0,145,0,11,08/23/2022 00:00:00,
254,Florence + The Machine,4614759836,378905,160,0,9,09/18/2022 00:00:00,
255,Florida Georgia Line,4609041041,2478742591,124,0,15,08/21/2022 00:00:00,
256,My Chemical Romance,4607083284,0,139,0,11,09/14/2022 00:00:00,
257,Alesso,4597495128,137641031,129,0,10,08/13/2022 00:00:00,
258,Arijit Singh,4573567798,939497796,572,0,4,09/01/2022 00:00:00,
259,Glass Animals,4554159224,4423329,109,1,6,09/15/2022 00:00:00,
260,The Script,4553052747,1343266,99,1,8,09/12/2022 00:00:00,
261,Zé Neto & Cristiano,4540609590,463313203,169,0,13,09/12/2022 00:00:00,
262,Whitney Houston,4519561495,14222939,282,0,9,09/19/2022 00:00:00,
263,Chance the Rapper,4517223691,3118921754,105,0,12,09/05/2022 00:00:00,
264,Piso 21,4511325667,62804762,86,0,12,07/31/2022 00:00:00,
265,Five Finger Death Punch,4506617068,0,138,0,9,07/31/2022 00:00:00,
266,Bruce Springsteen,4480464759,47313864,821,0,10,09/11/2022 00:00:00,
267,Arcangel,4475257907,5081836495,244,0,11,08/11/2022 00:00:00,
268,Nickelback,4469299972,0,150,0,12,09/06/2022 00:00:00,
269,Fifth Harmony,4468944634,184240949,75,1,7,09/19/2022 00:00:00,
270,Lenny Tavárez,4449161492,3924285642,94,0,10,07/31/2022 00:00:00,
271,Jason Mraz,4439148339,98804484,238,1,6,07/31/2022 00:00:00,
272,Galantis,4427621050,102139066,243,0,8,07/31/2022 00:00:00,
273,Avril Lavigne,4418987832,25567335,154,0,10,09/10/2022 00:00:00,
274,Glee Cast,4375931294,0,723,0,0,08/23/2022 00:00:00,
275,Bring Me The Horizon,4372894185,85729842,141,0,11,09/19/2022 00:00:00,
276,Ne-Yo,4368629006,2245144528,204,0,10,07/31/2022 00:00:00,
277,Lil Durk,4367616218,3009354038,359,0,6,09/17/2022 00:00:00,
278,Kane Brown,4364488364,29797048,98,0,10,07/31/2022 00:00:00,
279,Kehlani,4361626721,2028969469,124,0,10,08/09/2022 00:00:00,
280,Kevin Gates,4359021971,739286985,314,0,6,08/07/2022 00:00:00,
281,Niall Horan,4338726666,517135427,69,0,11,09/19/2022 00:00:00,
282,Bryson Tiller,4330601767,1295854047,70,0,8,09/05/2022 00:00:00,
283,Jonas Brothers,4329888033,498204068,95,1,9,08/07/2022 00:00:00,
284,Bizarrap,4326642648,503968381,87,0,12,09/14/2022 00:00:00,
285,Capital Bra,4317253980,673800705,276,0,9,08/07/2022 00:00:00,
286,Lil Tjay,4313086274,1884183028,65,0,11,07/31/2022 00:00:00,
287,Snoop Dogg,4300203668,6192858304,726,1,7,08/25/2022 00:00:00,
288,Macklemore & Ryan Lewis,4290529937,4265483,48,1,6,09/04/2022 00:00:00,
289,Lil Tecca,4273063329,302858918,79,1,11,09/12/2022 00:00:00,
290,Luke Bryan,4267128439,540870550,149,0,14,08/01/2022 00:00:00,
291,Natti Natasha,4253199571,2141323366,93,0,9,09/17/2022 00:00:00,
292,Wisin,4226257427,5360562962,131,0,10,08/18/2022 00:00:00,
293,Aerosmith,4219398737,0,318,0,9,09/17/2022 00:00:00,
294,Vance Joy,4216274820,0,87,1,9,08/01/2022 00:00:00,
295,Kelly Clarkson,4206190955,231077825,329,0,8,09/20/2022 00:00:00,
296,Alejandro Fernández,4201269620,352247735,313,0,11,07/31/2022 00:00:00,
297,Stevie Wonder,4196723912,301358086,657,0,11,09/11/2022 00:00:00,
298,Jennifer Lopez,4186796728,1097279258,240,0,13,09/18/2022 00:00:00,
299,Johnny Cash,4174390143,163740766,1679,0,7,08/19/2022 00:00:00,
300,Maná,4119964379,63757921,220,0,12,08/18/2022 00:00:00,
301,Thomas Rhett,4112832625,247574441,120,0,15,08/09/2022 00:00:00,
302,Ryan Lewis,4110355782,43371022,33,1,6,07/31/2022 00:00:00,
304,Hans Zimmer,4092359874,119832137,1545,0,3,07/31/2022 00:00:00,
305,NAV,4088499280,396587742,117,0,10,09/08/2022 00:00:00,
306,Lil Pump,4054627650,2403169234,74,0,10,07/31/2022 00:00:00,
307,Pearl Jam,4052231789,77042747,2127,0,9,07/31/2022 00:00:00,
308,James Bay,4051355922,1957856299,90,0,9,08/12/2022 00:00:00,
309,Disturbed,4034857022,521301528,173,0,6,07/31/2022 00:00:00,
310,YG,4034206176,997641,198,0,8,07/31/2022 00:00:00,
311,Amy Winehouse,4024161318,1656164329,157,0,7,09/17/2022 00:00:00,
312,Wisin & Yandel,4004531845,709421106,293,0,12,07/31/2022 00:00:00,
313,YNW Melly,3991996348,156055221,83,0,9,07/31/2022 00:00:00,
314,Lil Skies,3968361888,544047899,75,0,9,08/22/2022 00:00:00,
315,Nio Garcia,3960430779,174098397,124,0,7,07/31/2022 00:00:00,
316,Tones And I,3957800698,5232238,33,1,5,09/17/2022 00:00:00,
317,Kesha,3955337905,39496270,139,0,10,09/15/2022 00:00:00,
318,Backstreet Boys,3949466238,6402079,145,1,8,09/18/2022 00:00:00,
319,Aventura,3943857084,4905865217,123,0,12,09/01/2022 00:00:00,
320,Flume,3942056858,39660958,145,0,9,07/31/2022 00:00:00,
321,Dr. Dre,3941098327,699574957,75,0,8,09/19/2022 00:00:00,
322,Miguel,3933509386,873635526,145,0,8,07/31/2022 00:00:00,
323,Jul,3931452487,1335247,572,0,0,09/18/2022 00:00:00,
324,Lizzo,3911061177,0,79,0,8,09/12/2022 00:00:00,
325,Billy Joel,3885486622,18747880,383,0,10,08/16/2022 00:00:00,
326,ROSALÍA,3871106303,146654,61,0,8,09/20/2022 00:00:00,
327,Calibre 50,3859723768,1117326282,226,0,10,08/25/2022 00:00:00,
328,Phil Collins,3836785174,0,339,0,9,08/14/2022 00:00:00,
329,Matheus & Kauan,3831562276,62540256,179,0,12,09/12/2022 00:00:00,
330,Akon,3813017846,876355276,207,0,9,07/31/2022 00:00:00,
331,Jason Aldean,3797816243,1134,166,0,8,07/31/2022 00:00:00,
332,Eagles,3784792723,436178161,189,1,8,08/23/2022 00:00:00,
333,George Ezra,3745977355,3853999824,76,0,7,09/07/2022 00:00:00,
334,Yandel,3731724067,194535961,175,0,9,07/31/2022 00:00:00,
335,Prince Royce,3724376964,0,127,0,10,07/31/2022 00:00:00,
336,The Offspring,3713219015,4310489285,159,0,7,08/13/2022 00:00:00,
337,24kGoldn,3705648954,1036388958,62,1,7,07/31/2022 00:00:00,
338,Three Days Grace,3698665397,937757024,96,0,8,07/31/2022 00:00:00,
339,Wesley Safadão,3698314476,5692666319,283,0,6,07/31/2022 00:00:00,
340,Anderson .Paak,3694145511,606712238,152,0,5,07/31/2022 00:00:00,
